tick,hydra_state,hydra_next_state,hydra_uart_has_data,hydra_sel_onehot,hydra_uld_rx_data_uart,hydra_rx_data_flag,hydra_comms_busy,hydra_pkt_valid,hydra_fifo_write_n,hydra_rx_data_word,hydra_comms_rcvd_pkt,hydra_comms_read_pkt,hydra_fifo_rd_data,hydra_fifo_read_pointer,hydra_fifo_write_pointer,hydra_fifo_counter_debug,hydra_fifo_read_n,hydra_fifo_write_n_internal,hydra_fifo_mem0,hydra_fifo_mem1,msg_valid,msg_pkt_data,ready_for_msg,msg_generated_valid,msg_fifo_write_n,msg_fifo_empty,msg_fifo_read_n,msg_fifo_counter_debug,msg_fifo_data_in,msg_fifo_data_out,msg_fifo_mem0,msg_fifo_mem1,north_rx_empty,east_rx_empty,south_rx_empty,west_rx_empty,north_hold_valid,east_hold_valid,south_hold_valid,west_hold_valid,north_rx_data,east_rx_data,south_rx_data,west_rx_data,north_hold_reg,east_hold_reg,south_hold_reg,west_hold_reg
0,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,0,0x0000000000000000,1,0,1,1,1,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
1,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,0,0x0000000000000000,1,0,1,1,1,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
2,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,0,0x0000000000000000,1,0,1,1,1,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
3,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,0,0x0000000000000000,1,0,1,1,1,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
4,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,0,0x0000000000000000,1,0,1,1,1,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
5,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,0,0x0000000000000000,1,0,1,1,1,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
6,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,0,0x0000000000000000,1,0,1,1,1,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
7,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,0,0x0000000000000000,1,0,1,1,1,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
8,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,0,0x0000000000000000,1,0,1,1,1,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
9,0,0,0x0,0x0,0x0,0,0,0,1,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0,0,0,1,1,0x0000000000000000,0x0000000000000000,0,0x0000000000000000,1,0,1,1,1,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,1,1,1,1,0,0,0,0,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000,0x0000000000000000
